,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,fortuna,1.0,US,1552618639.0,100.0,40.6,-124.16,51.8,10.29
1,manono,64.0,CD,1552618690.0,92.0,-7.3,27.4,71.3,2.98
2,jamestown,88.0,SH,1552618570.0,100.0,-15.94,-5.72,76.25,14.05
3,new norfolk,40.0,AU,1552618639.0,52.0,-42.78,147.06,68.0,13.87
4,cabedelo,20.0,BR,1552615200.0,94.0,-6.97,-34.84,78.8,5.82
5,chokurdakh,44.0,RU,1552618690.0,93.0,70.62,147.9,-7.64,2.42
6,ushuaia,0.0,AR,1552615200.0,66.0,-54.81,-68.31,53.6,7.45
7,vila franca do campo,75.0,PT,1552618654.0,76.0,37.72,-25.43,55.4,3.36
8,butaritari,92.0,KI,1552618691.0,100.0,3.07,172.79,78.77,14.94
9,rikitea,80.0,PF,1552618691.0,100.0,-23.12,-134.97,76.97,18.07
10,cape town,0.0,ZA,1552618691.0,72.0,-33.93,18.42,69.01,10.29
11,saint george,75.0,BM,1552618035.0,59.0,32.38,-64.68,62.6,8.05
13,new norfolk,40.0,AU,1552618639.0,52.0,-42.78,147.06,68.0,13.87
14,road town,1.0,VG,1552618632.0,73.0,18.42,-64.62,77.0,4.7
16,mar del plata,92.0,AR,1552618691.0,95.0,-46.43,-67.52,54.2,7.45
18,kapaa,1.0,US,1552618410.0,65.0,22.08,-159.32,78.8,10.29
19,vardo,68.0,NO,1552618692.0,100.0,70.37,31.11,31.34,21.32
20,busselton,0.0,AU,1552618508.0,30.0,-33.64,115.35,86.0,2.98
21,port elizabeth,75.0,ZA,1552615200.0,100.0,-33.92,25.57,68.0,6.93
22,hilo,90.0,US,1552618646.0,69.0,19.71,-155.08,75.2,6.93
23,kapaa,1.0,US,1552618410.0,65.0,22.08,-159.32,78.8,10.29
24,bandar,0.0,ID,1552618692.0,66.0,-4.2,104.14,87.68,6.11
25,atuona,32.0,PF,1552618693.0,100.0,-9.8,-139.03,82.55,14.72
26,andenes,56.0,NO,1552618200.0,79.0,69.31,16.12,26.6,3.36
27,pisco,0.0,PE,1552615200.0,78.0,-13.71,-76.2,73.4,16.11
28,cape town,0.0,ZA,1552618691.0,72.0,-33.93,18.42,69.01,10.29
29,hasaki,20.0,JP,1552618176.0,32.0,35.73,140.83,61.0,8.05
